"TOA5","S2_Weir","CR1000","11762","CR1000.Std.14","CPU:2019.10.11_S2Weir.CR1","38393","ShelterT"
TIMESTAMP,RECORD,Batt_Volt,PTemp,GageHouseT,WeirCoverT
TS,RN,V DC,Deg C,Deg C,Deg C
,,Smp,Smp,Smp,Smp
2020-01-07 18:30:00,4229,13.1,-0.2,0.2,NAN
2020-01-07 19:00:00,4230,13.1,-0.7,-0.3,NAN
2020-01-07 19:30:00,4231,13,-1.1,-0.7,NAN
2020-01-07 20:00:00,4232,13,-1.4,-1,NAN
2020-01-07 20:30:00,4233,13,-1.7,-1.3,NAN
2020-01-07 21:00:00,4234,13,-1.9,-1.6,NAN
2020-01-07 21:30:00,4235,13,-2.2,-1.8,NAN
2020-01-07 22:00:00,4236,13,-2.5,-2.2,NAN
2020-01-07 22:30:00,4237,13,-2.8,-2.4,NAN
2020-01-07 23:00:00,4238,13,-2.9,-2.6,NAN
2020-01-07 23:30:00,4239,13,-3.1,-2.8,NAN
2020-01-08 00:00:00,4240,12.9,-3.3,-2.9,NAN
2020-01-08 00:30:00,4241,12.9,-3.3,-3,NAN
2020-01-08 01:00:00,4242,12.9,-3.4,-3.1,NAN
2020-01-08 01:30:00,4243,12.9,-3.5,-3.3,NAN
2020-01-08 02:00:00,4244,12.9,-3.7,-3.5,NAN
2020-01-08 02:30:00,4245,12.9,-3.9,-3.7,NAN
2020-01-08 03:00:00,4246,12.9,-4.1,-4,NAN
2020-01-08 03:30:00,4247,12.9,-4.5,-4.3,NAN
2020-01-08 04:00:00,4248,12.9,-4.8,-4.6,NAN
2020-01-08 04:30:00,4249,12.9,-5.2,-5,NAN
2020-01-08 05:00:00,4250,12.9,-5.6,-5.5,NAN
2020-01-08 05:30:00,4251,12.9,-6,-5.9,NAN
2020-01-08 06:00:00,4252,12.9,-6.3,-6.3,NAN
2020-01-08 06:30:00,4253,12.9,-6.7,-6.6,NAN
2020-01-08 07:00:00,4254,12.8,-7,-6.9,NAN
2020-01-08 07:30:00,4255,12.8,-7.2,-7.2,NAN
2020-01-08 08:00:00,4256,12.8,-7.4,-7.3,NAN
2020-01-08 08:30:00,4257,12.9,-7.6,-7.5,NAN
2020-01-08 09:00:00,4258,12.9,-7.7,-7.7,NAN
2020-01-08 09:30:00,4259,13.1,-7.7,-7.6,NAN
2020-01-08 10:00:00,4260,13.2,-7.4,-7.1,NAN
2020-01-08 10:30:00,4261,13.4,-6.7,-6.3,NAN
2020-01-08 11:00:00,4262,13.6,-5.8,-5.2,NAN
2020-01-08 11:30:00,4263,14.5,-4.7,-4.2,NAN
2020-01-08 12:00:00,4264,15,-3.6,-3.1,NAN
2020-01-08 12:30:00,4265,14.9,-2.2,-1.7,NAN
2020-01-08 13:00:00,4266,14.9,-0.9,-0.4,NAN
2020-01-08 13:30:00,4267,14.9,0.1,0.5,NAN
2020-01-08 14:00:00,4268,14.5,1.1,1.4,NAN
2020-01-08 14:30:00,4269,14.4,1.6,1.8,NAN
2020-01-08 15:00:00,4270,14.2,1.8,2,NAN
2020-01-08 15:30:00,4271,14.1,1.9,2.1,NAN
2020-01-08 16:00:00,4272,13.8,1.8,2,NAN
2020-01-08 16:30:00,4273,13.6,1.7,1.9,NAN
2020-01-08 17:00:00,4274,13.4,1.6,1.8,NAN
2020-01-08 17:30:00,4275,13.3,1.4,1.7,NAN
2020-01-08 18:00:00,4276,13.2,1.2,1.5,NAN
2020-01-08 18:30:00,4277,13.1,1.1,1.4,NAN
2020-01-08 19:00:00,4278,13.1,1,1.3,NAN
2020-01-08 19:30:00,4279,13,0.9,1.2,NAN
2020-01-08 20:00:00,4280,13,0.8,1.1,NAN
2020-01-08 20:30:00,4281,13,0.7,1.1,NAN
2020-01-08 21:00:00,4282,13,0.7,1.1,NAN
2020-01-08 21:30:00,4283,13,0.7,1.2,NAN
2020-01-08 22:00:00,4284,13,0.9,1.4,NAN
2020-01-08 22:30:00,4285,12.9,1.1,1.6,NAN
2020-01-08 23:00:00,4286,12.9,1.4,1.8,NAN
2020-01-08 23:30:00,4287,12.9,1.6,2.1,NAN
2020-01-09 00:00:00,4288,12.9,1.9,2.3,NAN
2020-01-09 00:30:00,4289,12.9,2.1,2.6,NAN
2020-01-09 01:00:00,4290,12.9,2.4,2.9,NAN
2020-01-09 01:30:00,4291,12.9,2.6,3.1,NAN
2020-01-09 02:00:00,4292,12.9,2.8,3.3,NAN
2020-01-09 02:30:00,4293,12.9,3,3.4,NAN
2020-01-09 03:00:00,4294,12.9,3,3.5,NAN
2020-01-09 03:30:00,4295,12.9,3.1,3.5,NAN
2020-01-09 04:00:00,4296,12.9,3.2,3.7,NAN
2020-01-09 04:30:00,4297,12.9,3.4,3.8,NAN
2020-01-09 05:00:00,4298,12.8,3.5,4,NAN
2020-01-09 05:30:00,4299,12.8,3.6,4.1,NAN
2020-01-09 06:00:00,4300,12.8,3.8,4.3,NAN
2020-01-09 06:30:00,4301,12.8,3.9,4.5,NAN
2020-01-09 07:00:00,4302,12.8,4.1,4.7,NAN
2020-01-09 07:30:00,4303,12.8,4.3,4.9,NAN
2020-01-09 08:00:00,4304,12.8,4.6,5.1,NAN
2020-01-09 08:30:00,4305,12.8,4.8,5.4,NAN
2020-01-09 09:00:00,4306,12.8,5.1,5.7,NAN
2020-01-09 09:30:00,4307,12.9,5.5,6,NAN
2020-01-09 10:00:00,4308,12.9,5.8,6.3,NAN
2020-01-09 10:30:00,4309,12.9,6,6.6,NAN
2020-01-09 11:00:00,4310,12.9,6.3,6.9,NAN
2020-01-09 11:30:00,4311,12.9,6.6,7.2,NAN
2020-01-09 12:00:00,4312,12.8,6.9,7.5,NAN
2020-01-09 12:30:00,4313,12.8,7.2,7.8,NAN
2020-01-09 13:00:00,4314,12.8,7.6,8.1,NAN
2020-01-09 13:30:00,4315,12.8,7.8,8.3,NAN
2020-01-09 14:00:00,4316,12.8,8.1,8.6,NAN
2020-01-09 14:30:00,4317,12.8,8.3,8.8,NAN
2020-01-09 15:00:00,4318,12.8,8.5,8.9,NAN
2020-01-09 15:30:00,4319,12.8,8.5,9,NAN
2020-01-09 16:00:00,4320,12.8,8.5,8.9,NAN
2020-01-09 16:30:00,4321,12.8,8.4,8.8,NAN
2020-01-09 17:00:00,4322,12.8,8.1,8.5,NAN
2020-01-09 17:30:00,4323,12.8,7.9,8.3,NAN
2020-01-09 18:00:00,4324,12.8,7.6,8.1,NAN
2020-01-09 18:30:00,4325,12.8,7.4,7.9,NAN
2020-01-09 19:00:00,4326,12.8,7.3,7.7,NAN
2020-01-09 19:30:00,4327,12.8,7.2,7.7,NAN
2020-01-09 20:00:00,4328,12.8,7.2,7.6,NAN
2020-01-09 20:30:00,4329,12.8,7.1,7.5,NAN
2020-01-09 21:00:00,4330,12.8,6.9,7.4,NAN
2020-01-09 21:30:00,4331,12.8,6.8,7.2,NAN
2020-01-09 22:00:00,4332,12.8,6.6,7.1,NAN
2020-01-09 22:30:00,4333,12.8,6.5,6.9,NAN
2020-01-09 23:00:00,4334,12.8,6.3,6.7,NAN
2020-01-09 23:30:00,4335,12.8,6.1,6.5,NAN
2020-01-10 00:00:00,4336,12.8,5.8,6.2,NAN
2020-01-10 00:30:00,4337,12.8,5.4,5.8,NAN
2020-01-10 01:00:00,4338,12.8,4.9,5.3,NAN
2020-01-10 01:30:00,4339,12.8,4.3,4.6,NAN
2020-01-10 02:00:00,4340,12.8,3.8,4.1,NAN
2020-01-10 02:30:00,4341,12.8,3.4,3.8,NAN
2020-01-10 03:00:00,4342,12.8,3.1,3.6,NAN
2020-01-10 03:30:00,4343,12.8,3,3.5,NAN
2020-01-10 04:00:00,4344,12.8,3,3.5,NAN
2020-01-10 04:30:00,4345,12.8,3,3.4,NAN
2020-01-10 05:00:00,4346,12.8,2.8,3.2,NAN
2020-01-10 05:30:00,4347,12.8,2.5,2.9,NAN
2020-01-10 06:00:00,4348,12.8,2,2.4,NAN
2020-01-10 06:30:00,4349,12.7,1.6,1.9,NAN
2020-01-10 07:00:00,4350,12.8,1.2,1.4,NAN
2020-01-10 07:30:00,4351,12.8,0.7,0.9,NAN
2020-01-10 08:00:00,4352,12.7,0.3,0.6,NAN
2020-01-10 08:30:00,4353,12.7,-0.1,0.2,NAN
2020-01-10 09:00:00,4354,12.7,-0.3,0,NAN
2020-01-10 21:00:00,4378,12.7,-3.8,-3.6,NAN
2020-01-10 21:30:00,4379,12.7,-4.3,-4.1,NAN
2020-01-10 22:00:00,4380,12.7,-4.8,-4.6,NAN
2020-01-10 22:30:00,4381,12.7,-5.4,-5.2,NAN
2020-01-10 23:00:00,4382,12.7,-5.9,-5.8,NAN
2020-01-10 23:30:00,4383,12.7,-6.5,-6.3,NAN
