"TOA5","S3_fenwell","CR1000X","4723","CR1000X.Std.03.02","CPU:2019.11_S3BogWell.cr1x","39341","S3FW_Daily"
TIMESTAMP,RECORD,MinWTElev,MaxWTElev,MinWTElev_m,MaxWTElev_m,MinAirT,MaxAirT,PAR_Tot_Tot
TS,RN,ft ASL,ft ASL,m ASL,m ASL,Deg C,Deg C,mmol/mÂ²
,,Smp,Smp,Smp,Smp,Smp,Smp,Tot
2020-06-30 23:59:55,0,1349.969,1357.074,411.47,413.64,NAN,NAN,0
2020-07-01 23:59:55,1,1357.035,1357.053,413.62,413.63,NAN,NAN,0
2020-07-02 23:59:55,2,1357.017,1357.047,413.62,413.63,NAN,NAN,0
2020-07-03 23:59:55,3,1357.001,1357.029,413.61,413.62,NAN,NAN,0
2020-07-04 23:59:55,4,1356.992,1357.017,413.61,413.62,NAN,NAN,0
2020-07-05 23:59:55,5,1356.98,1357.007,413.61,413.62,NAN,NAN,0
2020-07-06 23:59:55,6,1356.986,1357.139,413.61,413.66,NAN,NAN,0
2020-07-07 23:59:55,7,1357.068,1357.102,413.63,413.64,NAN,NAN,0
2020-07-08 23:59:55,8,1357.068,1357.157,413.63,413.66,NAN,NAN,0
2020-07-09 23:59:55,9,1357.129,1357.169,413.65,413.67,NAN,NAN,0
2020-07-10 23:59:55,10,1357.096,1357.129,413.64,413.65,NAN,NAN,0
2020-07-11 23:59:55,11,1357.071,1357.096,413.64,413.64,NAN,NAN,0
2020-07-12 23:59:55,12,1357.056,1357.071,413.63,413.64,NAN,NAN,0
2020-07-13 23:59:55,13,1357.047,1357.203,413.63,413.68,NAN,NAN,0
2020-07-14 23:59:55,14,1357.12,1357.139,413.65,413.66,NAN,NAN,0
2020-07-15 23:59:55,15,1357.096,1357.12,413.64,413.65,NAN,NAN,0
2020-07-16 23:59:55,16,1357.083,1357.096,413.64,413.64,NAN,NAN,0
2020-07-17 23:59:55,17,1357.062,1357.136,413.63,413.66,NAN,NAN,0
2020-07-18 23:59:55,18,1357.105,1357.16,413.65,413.66,NAN,NAN,0
2020-07-19 23:59:55,19,1357.111,1357.142,413.65,413.66,NAN,NAN,0
2020-07-20 23:59:55,20,1357.083,1357.111,413.64,413.65,NAN,NAN,0
2020-07-21 23:59:55,21,1357.083,1357.219,413.64,413.68,NAN,NAN,0
2020-07-22 23:59:55,22,1357.148,1357.197,413.66,413.67,NAN,NAN,0
2020-07-23 23:59:55,23,1357.117,1357.148,413.65,413.66,NAN,NAN,0
2020-07-24 23:59:55,24,1357.093,1357.117,413.64,413.65,NAN,NAN,0
2020-07-25 23:59:55,25,1357.093,1357.166,413.64,413.66,NAN,NAN,0
2020-07-26 23:59:55,26,1357.117,1357.157,413.65,413.66,NAN,NAN,0
2020-07-27 23:59:55,27,1357.089,1357.117,413.64,413.65,NAN,NAN,0
2020-07-28 23:59:55,28,1357.068,1357.089,413.63,413.64,NAN,NAN,0
2020-07-29 23:59:55,29,1357.056,1357.068,413.63,413.63,NAN,NAN,0
2020-07-30 23:59:55,30,1357.044,1357.056,413.63,413.63,NAN,NAN,0
2020-07-31 23:59:55,31,1357.035,1357.05,413.62,413.63,NAN,NAN,0
2020-08-01 23:59:55,32,1357.041,1357.05,413.63,413.63,NAN,NAN,0
2020-08-02 23:59:55,33,1357.026,1357.044,413.62,413.63,NAN,NAN,0
2020-08-03 23:59:55,34,1357.017,1357.035,413.62,413.62,NAN,NAN,0
2020-08-04 23:59:55,35,1357.011,1357.026,413.62,413.62,NAN,NAN,0
2020-08-05 23:59:55,36,1356.998,1357.02,413.61,413.62,NAN,NAN,0
2020-08-06 23:59:55,37,1356.989,1357.007,413.61,413.62,NAN,NAN,0
2020-08-07 23:59:55,38,1356.992,1357.354,413.61,413.72,NAN,NAN,0
2020-08-08 23:59:55,39,1357.191,1357.351,413.67,413.72,NAN,NAN,0
2020-08-09 23:59:55,40,1357.179,1357.289,413.67,413.7,NAN,NAN,0
2020-08-10 23:59:55,0,1357.186,1357.213,413.67,413.68,NAN,NAN,0
2020-08-11 23:59:55,1,1357.146,1357.186,413.66,413.67,NAN,NAN,0
2020-08-12 23:59:55,2,1357.121,1357.146,413.65,413.66,NAN,NAN,0
2020-08-13 23:59:55,3,1357.112,1357.121,413.65,413.65,NAN,NAN,0
2020-08-14 23:59:55,4,1357.112,1357.37,413.65,413.73,NAN,NAN,0
2020-08-15 23:59:55,5,1357.247,1357.33,413.69,413.71,NAN,NAN,0
2020-08-16 23:59:55,6,1357.204,1357.247,413.68,413.69,NAN,NAN,0
2020-08-17 23:59:55,7,1357.17,1357.204,413.67,413.68,NAN,NAN,0
2020-08-18 23:59:55,8,1357.146,1357.17,413.66,413.67,NAN,NAN,0
2020-08-19 23:59:55,9,1357.127,1357.146,413.65,413.66,NAN,NAN,0
2020-08-20 23:59:55,10,1357.115,1357.127,413.65,413.65,NAN,NAN,0
2020-08-21 23:59:55,11,1357.109,1357.115,413.65,413.65,NAN,NAN,0
2020-08-22 23:59:55,12,1357.109,1357.133,413.65,413.65,NAN,NAN,0
2020-08-23 23:59:55,13,1357.106,1357.118,413.65,413.65,NAN,NAN,0
2020-08-24 23:59:55,14,1357.093,1357.106,413.64,413.65,NAN,NAN,0
