"TOA5","S4N_weir","CR1000X","4730","CR1000X.Std.03.02","CPU:2019.10_S4NWeir.cr1x","52245","S4NShelterT"
TIMESTAMP,RECORD,Batt_Volt,PTemp,GageHouseT,WeirCoverT
TS,RN,V DC,Deg C,Deg C,Deg C
,,Smp,Smp,Smp,Smp
2020-07-17 11:00:00,0,14,30.1,-108.5,-108.1
2020-07-17 11:30:00,1,13.9,31.4,25.6,-89.7
2020-07-17 12:00:00,2,13.5,32.1,26.7,-91.6
2020-07-17 12:30:00,3,13.4,34,28.8,-91.2
2020-07-17 13:00:00,4,13.4,34.4,28.9,-91.4
2020-07-17 13:30:00,5,13.4,34.3,28.7,-91.2
2020-07-17 14:00:00,6,13.4,34.5,28,-91.6
2020-07-17 14:30:00,7,13.3,35.4,27.6,-91.4
2020-07-17 15:00:00,8,13.3,35.7,29.2,-91.2
2020-07-17 15:30:00,9,13.3,36.8,28.5,-91.4
2020-07-17 16:00:00,10,13.3,35.5,27.4,-91.5
2020-07-17 16:30:00,11,13.4,33.7,26.9,-91.6
2020-07-17 17:00:00,12,13.4,32,26.8,-91.5
2020-07-17 17:30:00,13,13.5,30.4,26.2,-91.7
2020-07-17 18:00:00,14,13.4,29,25.5,-91.6
2020-07-17 18:30:00,15,13.2,27.6,24.8,-91.8
2020-07-17 19:00:00,16,13.1,26.2,24,-92
2020-07-17 19:30:00,17,13.1,24.9,23.3,-91.8
2020-07-17 20:00:00,18,13,23.9,22.8,-92.1
2020-07-17 20:30:00,19,13,23.2,22.5,-92.2
2020-07-17 21:00:00,20,13,22.7,22.2,-92.1
2020-07-17 21:30:00,21,12.9,22.2,22,-92.1
2020-07-17 22:00:00,22,12.9,21.5,21.4,-92.1
2020-07-17 22:30:00,23,12.9,20.8,20.8,-92.2
2020-07-17 23:00:00,24,12.9,20.2,20.6,-92.1
2020-07-17 23:30:00,25,12.9,19.9,20.4,-92.5
2020-07-18 00:00:00,26,12.9,19.7,20.3,-92.4
2020-07-18 00:30:00,27,12.9,19.5,20.2,-92.2
2020-07-18 01:00:00,28,12.9,19.4,20.1,-92.4
2020-07-18 01:30:00,29,12.9,19.4,20.1,-92.4
2020-07-18 02:00:00,30,12.9,19.4,20.1,-92.4
2020-07-18 02:30:00,31,12.9,19.4,20,-92.5
2020-07-18 03:00:00,32,12.9,19.4,20,-92.4
2020-07-18 03:30:00,33,12.9,19.4,19.9,-92.5
2020-07-18 04:00:00,34,12.9,19.3,19.9,-92.3
2020-07-18 04:30:00,35,12.9,19.2,19.7,-92.2
2020-07-18 05:00:00,36,12.9,19.1,19.6,-92.6
2020-07-18 05:30:00,37,12.9,19.2,19.7,-92.5
2020-07-18 06:00:00,38,12.9,19.2,19.8,-92.2
2020-07-18 06:30:00,39,13,19.4,20,-92.3
2020-07-18 07:00:00,40,13,19.8,20.3,-92.3
2020-07-18 07:30:00,41,13.1,20.2,20.5,-92.2
2020-07-18 08:00:00,42,13.1,20.3,20.7,-92.2
2020-07-18 08:30:00,43,13.1,20.5,21.1,-92
2020-07-18 09:00:00,44,13.2,20.9,21.2,-92.1
2020-07-18 09:30:00,45,13.3,21.6,21.8,-92.2
2020-07-18 10:00:00,46,13.5,23.3,23.8,-91.9
2020-07-18 10:30:00,47,14.1,26,24.5,-92
2020-07-18 11:00:00,48,14,30.6,24.6,-91.8
2020-07-18 11:30:00,49,13.8,31.9,25.3,-91.3
2020-07-18 12:00:00,50,13.9,31.8,27.6,-91.4
2020-07-18 12:30:00,51,13.5,33.4,28.8,-91.4
2020-07-18 13:00:00,52,13.4,33.7,28.9,-91.3
2020-07-18 13:30:00,53,13.4,33.4,28.4,-91.2
2020-07-18 14:00:00,54,13.4,33.1,28,-91.2
2020-07-18 14:30:00,55,13.4,33,27.9,-91.4
2020-07-18 15:00:00,56,13.4,32.5,27.3,-91.5
2020-07-18 15:30:00,57,13.4,31.3,26.6,-91.5
2020-07-18 16:00:00,58,13.5,30,26.4,-91.6
2020-07-18 16:30:00,59,13.4,29.4,26.1,-91.6
2020-07-18 17:00:00,60,13.3,28.2,25.5,-91.7
2020-07-18 17:30:00,61,13.2,26.9,24.9,-91.6
2020-07-18 18:00:00,62,13.1,25.2,23.8,-91.9
2020-07-18 18:30:00,63,13.1,24,23.6,-91.8
2020-07-18 19:00:00,64,13.1,23.2,23.2,-91.9
2020-07-18 19:30:00,65,13,22.5,22.9,-91.8
2020-07-18 20:00:00,66,13,22,22.6,-92.1
2020-07-18 20:30:00,67,13,21.4,22.1,-92.3
2020-07-18 21:00:00,68,13,20.8,21.5,-92.2
2020-07-18 21:30:00,69,13,20.3,21.1,-92
2020-07-18 22:00:00,70,12.9,19.9,20.8,-92.4
2020-07-18 22:30:00,71,12.9,19.5,20.5,-92.2
2020-07-18 23:00:00,72,12.9,19.1,20.2,-92.3
2020-07-18 23:30:00,73,12.9,18.7,19.9,-92.4
2020-07-19 00:00:00,74,12.9,18.3,19.6,-92.4
2020-07-19 00:30:00,75,12.9,18.1,19.3,-92.5
2020-07-19 01:00:00,76,12.9,17.9,19.2,-92.3
2020-07-19 01:30:00,77,12.9,18,19.2,-92.4
2020-07-19 02:00:00,78,12.9,17.8,18.9,-92.6
2020-07-19 02:30:00,79,12.9,17.6,18.7,-92.3
2020-07-19 03:00:00,80,12.9,17.2,18.5,-92.6
2020-07-19 03:30:00,81,12.9,16.9,18.3,-92.8
2020-07-19 04:00:00,82,12.9,16.6,18,-92.8
2020-07-19 04:30:00,83,12.9,16.4,17.8,-92.6
2020-07-19 05:00:00,84,12.9,16.2,17.7,-92.6
2020-07-19 05:30:00,85,12.9,16.3,17.7,-92.6
2020-07-19 06:00:00,86,12.9,16.3,17.6,-92.9
2020-07-19 06:30:00,87,12.9,16.3,17.7,-92.5
2020-07-19 07:00:00,88,12.9,16.5,17.9,-92.6
2020-07-19 07:30:00,89,13,16.8,17.9,-92.8
2020-07-19 08:00:00,90,13,17.5,18.2,-92.5
2020-07-19 08:30:00,91,13.1,18,18.6,-92.6
2020-07-19 09:00:00,92,13.2,18.7,19,-92.1
2020-07-19 09:30:00,93,13.3,19.6,19.8,-92.1
2020-07-19 10:00:00,94,13.7,21,21.7,-92.2
2020-07-19 10:30:00,95,14,23.3,21.9,-92
2020-07-19 11:00:00,96,14.1,24.7,21.6,-91.9
2020-07-19 11:30:00,97,14.1,25.2,22.5,-91.9
2020-07-19 12:00:00,98,14,25.9,23.7,-91.7
2020-07-19 12:30:00,99,14,25.6,23.5,-91.9
2020-07-19 13:00:00,100,13.6,25.1,23.8,-92
2020-07-19 13:30:00,101,13.6,24.8,23.5,-92
2020-07-19 14:00:00,102,13.6,25.1,23,-91.8
2020-07-19 14:30:00,103,13.7,24.5,22.3,-92
2020-07-19 15:00:00,104,13.6,24.4,22.6,-91.9
2020-07-19 15:30:00,105,13.7,25.3,22.9,-92.1
2020-07-19 16:00:00,106,13.6,24.8,22.1,-92.2
2020-07-19 16:30:00,107,13.7,24,22,-92
2020-07-19 17:00:00,108,13.7,23.2,22,-92
2020-07-19 17:30:00,109,13.7,22.5,21.6,-92.2
2020-07-19 18:00:00,110,13.7,21.9,21,-92.1
2020-07-19 18:30:00,111,13.4,21.2,20.5,-92.4
2020-07-19 19:00:00,112,13.3,20.6,20.2,-92.2
2020-07-19 19:30:00,113,13.2,20,19.7,-92.6
2020-07-19 20:00:00,114,13.1,19.3,19.3,-92.8
2020-07-19 20:30:00,115,13.1,18.4,18.7,-92.6
2020-07-19 21:00:00,116,13,17.4,18.1,-92.6
2020-07-19 21:30:00,117,13,16.5,17.7,-92.7
2020-07-19 22:00:00,118,13,15.6,17,-92.8
2020-07-19 22:30:00,119,13,14.9,16.7,-93
2020-07-19 23:00:00,120,13,14.2,16.3,-92.8
2020-07-19 23:30:00,121,12.9,13.8,16,-92.8
2020-07-20 00:00:00,122,12.9,13.3,15.5,-92.7
2020-07-20 00:30:00,123,12.9,12.9,15.2,-93
2020-07-20 01:00:00,124,12.9,12.5,15,-93.3
2020-07-20 01:30:00,125,12.9,12.2,14.8,-93
2020-07-20 02:00:00,126,12.9,11.9,14.5,-93.2
2020-07-20 02:30:00,127,12.9,11.7,14.3,-93.3
2020-07-20 03:00:00,128,12.9,11.4,14.1,-93.4
2020-07-20 03:30:00,129,12.8,11.1,13.9,-93.3
2020-07-20 04:00:00,130,12.8,10.8,13.6,-93.4
2020-07-20 04:30:00,131,12.8,10.6,13.3,-93.1
2020-07-20 05:00:00,132,12.8,10.2,13,-93.3
2020-07-20 05:30:00,133,12.8,10.1,13,-93.4
2020-07-20 06:00:00,134,12.9,10.1,13,-93.4
2020-07-20 06:30:00,135,12.9,10.2,13.2,-93.4
2020-07-20 07:00:00,136,12.9,10.8,13.7,-93.2
