"TOA5","S4_bogwell","CR1000X","4732","CR1000X.Std.03.02","CPU:2021.05.04_S4BogWell.cr1x","12388","S4BWMet"
TIMESTAMP,RECORD,AirT,RH,PAR_Den,BP,BPnorm,Batt_volt
TS,RN,Deg C,%,Âµmol/s/mÂ²,kPa,kPa,V DC
,,Smp,Smp,Smp,Smp,Smp,Smp
2020-10-15 14:00:00,0,NAN,0,0,0,0,
2020-10-15 14:30:00,1,NAN,0,0,0,0,
2020-10-15 15:00:00,2,NAN,0,0,0,0,
2020-10-15 15:30:00,3,NAN,0,0,0,0,
2020-10-15 16:00:00,4,NAN,0,0,0,0,
2020-10-15 16:30:00,5,NAN,0,0,0,0,
2020-10-15 17:00:00,6,NAN,0,0,0,0,
2020-10-15 17:30:00,7,NAN,0,0,0,0,
2020-10-15 18:00:00,8,NAN,0,0,0,0,
2020-10-15 18:30:00,9,NAN,0,0,0,0,
2020-10-15 19:00:00,10,NAN,0,0,0,0,
2020-10-15 19:30:00,11,NAN,0,0,0,0,
2020-10-15 20:00:00,12,NAN,0,0,0,0,
2020-10-15 20:30:00,13,NAN,0,0,0,0,
2020-10-15 21:00:00,14,NAN,0,0,0,0,
2020-10-15 21:30:00,15,NAN,0,0,0,0,
2020-10-15 22:00:00,16,NAN,0,0,0,0,
2020-10-15 22:30:00,17,NAN,0,0,0,0,
2020-10-15 23:00:00,18,NAN,0,0,0,0,
2020-10-15 23:30:00,19,NAN,0,0,0,0,
2020-10-16 00:00:00,20,NAN,0,0,0,0,
2020-10-16 00:30:00,21,NAN,0,0,0,0,
2020-10-16 01:00:00,22,NAN,0,0,0,0,
2020-10-16 01:30:00,23,NAN,0,0,0,0,
2020-10-16 02:00:00,24,NAN,0,0,0,0,
2020-10-16 02:30:00,25,NAN,0,0,0,0,
2020-10-16 03:00:00,26,NAN,0,0,0,0,
2020-10-16 03:30:00,27,NAN,0,0,0,0,
2020-10-16 04:00:00,28,NAN,0,0,0,0,
2020-10-16 04:30:00,29,NAN,0,0,0,0,
2020-10-16 05:00:00,30,NAN,0,0,0,0,
2020-10-16 05:30:00,31,NAN,0,0,0,0,
2020-10-16 06:00:00,32,NAN,0,0,0,0,
2020-10-16 06:30:00,33,NAN,0,0,0,0,
2020-10-16 07:00:00,34,NAN,0,0,0,0,
2020-10-16 07:30:00,35,NAN,0,0,0,0,
2020-10-16 08:00:00,36,NAN,0,0,0,0,
2020-10-16 08:30:00,37,NAN,0,0,0,0,
2020-10-16 09:00:00,38,NAN,0,0,0,0,
2020-10-16 09:30:00,39,NAN,0,0,0,0,
2020-10-16 10:00:00,40,NAN,0,0,0,0,
2020-10-16 10:30:00,41,NAN,0,0,0,0,
2020-10-16 11:00:00,42,NAN,0,0,0,0,
2020-10-16 11:30:00,43,NAN,0,0,0,0,
2020-10-16 12:00:00,44,NAN,0,0,0,0,
2020-10-16 12:30:00,45,NAN,0,0,0,0,
2020-10-16 13:00:00,46,NAN,0,0,0,0,
2020-10-16 13:30:00,47,NAN,0,0,0,0,
2020-10-16 14:00:00,48,NAN,0,0,0,0,
2020-10-16 14:30:00,49,NAN,0,0,0,0,
2020-10-16 15:00:00,50,NAN,0,0,0,0,
2020-10-16 15:30:00,51,NAN,0,0,0,0,
2020-10-16 16:00:00,52,NAN,0,0,0,0,
2020-10-16 16:30:00,53,NAN,0,0,0,0,
2020-10-16 17:00:00,54,NAN,0,0,0,0,
2020-10-16 17:30:00,55,NAN,0,0,0,0,
2020-10-16 18:00:00,56,NAN,0,0,0,0,
2020-10-16 18:30:00,57,NAN,0,0,0,0,
2020-10-16 19:00:00,58,NAN,0,0,0,0,
2020-10-16 19:30:00,59,NAN,0,0,0,0,
2020-10-16 20:00:00,60,NAN,0,0,0,0,
2020-10-16 20:30:00,61,NAN,0,0,0,0,
2020-10-16 21:00:00,62,NAN,0,0,0,0,
2020-10-16 21:30:00,63,NAN,0,0,0,0,
2020-10-16 22:00:00,64,NAN,0,0,0,0,
2020-10-16 22:30:00,65,NAN,0,0,0,0,
2020-10-16 23:00:00,66,NAN,0,0,0,0,
2020-10-16 23:30:00,67,NAN,0,0,0,0,
2020-10-17 00:00:00,68,NAN,0,0,0,0,
2020-10-17 00:30:00,69,NAN,0,0,0,0,
2020-10-17 01:00:00,70,NAN,0,0,0,0,
