"TOA5","S6_bogwell","CR1000X","4724","CR1000X.Std.03.02","CPU:2019.10.20_S6BogWell.cr1x","49928","S6BW"
TIMESTAMP,RECORD,ShelterT,WTElev,Level,WTElev_m,AdjText
TS,RN,Deg C,ft ASL,ft,m ASL,
,,Smp,Smp,Smp,Smp,Smp
2020-01-01 00:00:00,1988,7.3,NAN,NAN,NAN,
2020-01-01 00:30:00,1989,7,NAN,NAN,NAN,
2020-01-01 01:00:00,1990,6.8,NAN,NAN,NAN,
2020-01-01 01:30:00,1991,6.7,NAN,NAN,NAN,
2020-01-01 02:00:00,1992,6.7,NAN,NAN,NAN,
2020-01-01 02:30:00,1993,6.6,NAN,NAN,NAN,
2020-01-01 03:00:00,1994,6.6,NAN,NAN,NAN,
2020-01-01 03:30:00,1995,6.6,NAN,NAN,NAN,
2020-01-01 04:00:00,1996,6.6,NAN,NAN,NAN,
2020-01-01 04:30:00,1997,6.6,NAN,NAN,NAN,
2020-01-01 05:00:00,1998,6.7,NAN,NAN,NAN,
2020-01-01 05:30:00,1999,6.7,NAN,NAN,NAN,
2020-01-01 06:00:00,2000,6.7,NAN,NAN,NAN,
2020-01-01 06:30:00,2001,6.9,NAN,NAN,NAN,
2020-01-01 07:00:00,2002,7,NAN,NAN,NAN,
2020-01-01 07:30:00,2003,7.1,NAN,NAN,NAN,
2020-01-01 08:00:00,2004,7.2,NAN,NAN,NAN,
2020-01-01 08:30:00,2005,7.3,NAN,NAN,NAN,
2020-01-01 09:00:00,2006,7.4,NAN,NAN,NAN,
2020-01-01 09:30:00,2007,7.9,NAN,NAN,NAN,
2020-01-01 10:00:00,2008,8.3,NAN,NAN,NAN,
2020-01-01 10:30:00,2009,9.1,NAN,NAN,NAN,
2020-01-01 11:00:00,2010,9.5,NAN,NAN,NAN,
2020-01-01 11:30:00,2011,9.8,NAN,NAN,NAN,
2020-01-01 12:00:00,2012,10.5,NAN,NAN,NAN,
2020-01-01 12:30:00,2013,11.3,NAN,NAN,NAN,
2020-01-01 13:00:00,2014,11.3,NAN,NAN,NAN,
2020-01-01 13:30:00,2015,12.4,NAN,NAN,NAN,
2020-01-01 14:00:00,2016,12.6,NAN,NAN,NAN,
2020-01-01 14:30:00,2017,13.3,NAN,NAN,NAN,
2020-01-01 15:00:00,2018,13.7,NAN,NAN,NAN,
2020-01-01 15:30:00,2019,14,NAN,NAN,NAN,
2020-01-01 16:00:00,2020,14,NAN,NAN,NAN,
2020-01-01 16:30:00,2021,14.3,NAN,NAN,NAN,
2020-01-01 17:00:00,2022,14.4,NAN,NAN,NAN,
2020-01-01 17:30:00,2023,14.3,NAN,NAN,NAN,
2020-01-01 18:00:00,2024,14.5,NAN,NAN,NAN,
2020-01-01 18:30:00,2025,14.6,NAN,NAN,NAN,
2020-01-01 19:00:00,2026,14.6,NAN,NAN,NAN,
2020-01-01 19:30:00,2027,14.8,NAN,NAN,NAN,
2020-01-01 20:00:00,2028,14.7,NAN,NAN,NAN,
2020-01-01 20:30:00,2029,14.6,NAN,NAN,NAN,
2020-01-01 21:00:00,2030,15.1,NAN,NAN,NAN,
2020-01-01 21:30:00,2031,15.3,NAN,NAN,NAN,
2020-01-01 22:00:00,2032,15.5,NAN,NAN,NAN,
2020-01-01 22:30:00,2033,15.6,NAN,NAN,NAN,
2020-01-01 23:00:00,2034,15.7,NAN,NAN,NAN,
2020-01-01 23:30:00,2035,15.8,NAN,NAN,NAN,
2020-01-02 00:00:00,2036,15.9,NAN,NAN,NAN,
2020-01-02 00:30:00,2037,15.9,NAN,NAN,NAN,
2020-01-02 01:00:00,2038,16.1,NAN,NAN,NAN,
2020-01-02 01:30:00,2039,16,NAN,NAN,NAN,
2020-01-02 02:00:00,2040,16.1,NAN,NAN,NAN,
2020-01-02 02:30:00,2041,16.1,NAN,NAN,NAN,
2020-01-02 03:00:00,2042,16.2,NAN,NAN,NAN,
2020-01-02 03:30:00,2043,16.2,NAN,NAN,NAN,
2020-01-02 04:00:00,2044,16.1,NAN,NAN,NAN,
2020-01-02 04:30:00,2045,16.2,NAN,NAN,NAN,
2020-01-02 05:00:00,2046,16.1,NAN,NAN,NAN,
2020-01-02 05:30:00,2047,16.1,NAN,NAN,NAN,
2020-01-02 06:00:00,2048,16.1,NAN,NAN,NAN,
2020-01-02 06:30:00,2049,16.2,NAN,NAN,NAN,
2020-01-02 07:00:00,2050,16.2,NAN,NAN,NAN,
2020-01-02 07:30:00,2051,16.1,NAN,NAN,NAN,
2020-01-02 08:00:00,2052,16.3,NAN,NAN,NAN,
2020-01-02 08:30:00,2053,16.2,NAN,NAN,NAN,
2020-01-02 09:00:00,2054,16.6,NAN,NAN,NAN,
2020-01-02 09:30:00,2055,16.6,NAN,NAN,NAN,
2020-01-02 10:00:00,2056,16.4,NAN,NAN,NAN,
2020-01-02 10:30:00,2057,15.4,NAN,NAN,NAN,
2020-01-02 11:00:00,2058,15.8,NAN,NAN,NAN,
2020-01-02 11:30:00,2059,13.8,NAN,NAN,NAN,
2020-01-02 12:00:00,2060,13.4,NAN,NAN,NAN,
2020-01-02 12:30:00,2061,12.8,NAN,NAN,NAN,
2020-01-02 13:00:00,2062,10.3,NAN,NAN,NAN,
2020-01-02 13:30:00,2063,12.1,NAN,NAN,NAN,
2020-01-02 14:00:00,2064,13.8,NAN,NAN,NAN,
2020-01-02 14:30:00,2065,14.2,NAN,NAN,NAN,
2020-01-02 15:00:00,2066,14.6,NAN,NAN,NAN,
2020-01-02 15:30:00,2067,14.9,NAN,NAN,NAN,
2020-01-02 16:00:00,2068,15.1,NAN,NAN,NAN,
2020-01-02 16:30:00,2069,15.2,NAN,NAN,NAN,
2020-01-02 17:00:00,2070,15.1,NAN,NAN,NAN,
2020-01-02 17:30:00,2071,15.1,NAN,NAN,NAN,
2020-01-02 18:00:00,2072,15,NAN,NAN,NAN,
2020-01-02 18:30:00,2073,15.2,NAN,NAN,NAN,
2020-01-02 19:00:00,2074,14.4,NAN,NAN,NAN,
2020-01-02 19:30:00,2075,14.8,NAN,NAN,NAN,
2020-01-02 20:00:00,2076,14.7,NAN,NAN,NAN,
2020-01-02 20:30:00,2077,14.4,NAN,NAN,NAN,
2020-01-02 21:00:00,2078,14.5,NAN,NAN,NAN,
2020-01-02 21:30:00,2079,14,NAN,NAN,NAN,
2020-01-02 22:00:00,2080,13.7,NAN,NAN,NAN,
2020-01-02 22:30:00,2081,13.4,NAN,NAN,NAN,
2020-01-02 23:00:00,2082,14.1,NAN,NAN,NAN,
2020-01-02 23:30:00,2083,13.8,NAN,NAN,NAN,
2020-01-03 00:00:00,2084,13.7,NAN,NAN,NAN,
2020-01-03 00:30:00,2085,13.8,NAN,NAN,NAN,
2020-01-03 01:00:00,2086,13.8,NAN,NAN,NAN,
2020-01-03 01:30:00,2087,13.5,NAN,NAN,NAN,
2020-01-03 02:00:00,2088,13.7,NAN,NAN,NAN,
2020-01-03 02:30:00,2089,13.8,NAN,NAN,NAN,
2020-01-03 03:00:00,2090,13.5,NAN,NAN,NAN,
2020-01-03 03:30:00,2091,13,NAN,NAN,NAN,
2020-01-03 04:00:00,2092,12.9,NAN,NAN,NAN,
2020-01-03 04:30:00,2093,13.2,NAN,NAN,NAN,
2020-01-03 05:00:00,2094,12.8,NAN,NAN,NAN,
2020-01-03 05:30:00,2095,12.6,NAN,NAN,NAN,
2020-01-03 06:00:00,2096,12.7,NAN,NAN,NAN,
2020-01-03 06:30:00,2097,12.9,NAN,NAN,NAN,
2020-01-03 07:00:00,2098,12.8,NAN,NAN,NAN,
2020-01-03 07:30:00,2099,13.2,NAN,NAN,NAN,
2020-01-03 08:00:00,2100,12.8,NAN,NAN,NAN,
2020-01-03 08:30:00,2101,12.9,NAN,NAN,NAN,
2020-01-03 09:00:00,2102,13.3,NAN,NAN,NAN,
2020-01-03 09:30:00,2103,13.4,NAN,NAN,NAN,
2020-01-03 10:00:00,2104,13.6,NAN,NAN,NAN,
2020-01-03 10:30:00,2105,13.9,NAN,NAN,NAN,
2020-01-03 11:00:00,2106,14.4,NAN,NAN,NAN,
2020-01-03 11:30:00,2107,14.7,NAN,NAN,NAN,
2020-01-03 12:00:00,2108,14.6,NAN,NAN,NAN,
2020-01-03 12:30:00,2109,14.9,NAN,NAN,NAN,
2020-01-03 13:00:00,2110,15,NAN,NAN,NAN,
2020-01-03 13:30:00,2111,15.1,NAN,NAN,NAN,
2020-01-03 14:00:00,2112,15.2,NAN,NAN,NAN,
2020-01-03 14:30:00,2113,15.3,NAN,NAN,NAN,
2020-01-03 15:00:00,2114,15.3,NAN,NAN,NAN,
2020-01-03 15:30:00,2115,15.3,NAN,NAN,NAN,
2020-01-03 16:00:00,2116,15.2,NAN,NAN,NAN,
2020-01-03 16:30:00,2117,15.1,NAN,NAN,NAN,
2020-01-03 17:00:00,2118,15.2,NAN,NAN,NAN,
2020-01-03 17:30:00,2119,15.2,NAN,NAN,NAN,
2020-01-03 18:00:00,2120,15.3,NAN,NAN,NAN,
2020-01-03 18:30:00,2121,15.2,NAN,NAN,NAN,
2020-01-03 19:00:00,2122,15.1,NAN,NAN,NAN,
2020-01-03 19:30:00,2123,14.9,NAN,NAN,NAN,
2020-01-03 20:00:00,2124,14.8,NAN,NAN,NAN,
2020-01-03 20:30:00,2125,14.6,NAN,NAN,NAN,
2020-01-03 21:00:00,2126,14.6,NAN,NAN,NAN,
2020-01-03 21:30:00,2127,14.5,NAN,NAN,NAN,
2020-01-03 22:00:00,2128,14.5,NAN,NAN,NAN,
2020-01-03 22:30:00,2129,14.4,NAN,NAN,NAN,
2020-01-03 23:00:00,2130,14.7,NAN,NAN,NAN,
2020-01-03 23:30:00,2131,14.6,NAN,NAN,NAN,
2020-01-04 00:00:00,2132,14.6,NAN,NAN,NAN,
2020-01-04 00:30:00,2133,14.7,NAN,NAN,NAN,
2020-01-04 01:00:00,2134,14.6,NAN,NAN,NAN,
2020-01-04 01:30:00,2135,14.8,NAN,NAN,NAN,
2020-01-04 02:00:00,2136,14.7,NAN,NAN,NAN,
2020-01-04 02:30:00,2137,14.9,NAN,NAN,NAN,
2020-01-04 03:00:00,2138,15,NAN,NAN,NAN,
2020-01-04 03:30:00,2139,15.1,NAN,NAN,NAN,
2020-01-04 04:00:00,2140,15.3,NAN,NAN,NAN,
2020-01-04 04:30:00,2141,15.2,NAN,NAN,NAN,
2020-01-04 05:00:00,2142,15.3,NAN,NAN,NAN,
2020-01-04 05:30:00,2143,15.5,NAN,NAN,NAN,
2020-01-04 06:00:00,2144,15.7,NAN,NAN,NAN,
2020-01-04 06:30:00,2145,15.6,NAN,NAN,NAN,
2020-01-04 07:00:00,2146,15.7,NAN,NAN,NAN,
2020-01-04 07:30:00,2147,15.8,NAN,NAN,NAN,
2020-01-04 08:00:00,2148,15.5,NAN,NAN,NAN,
2020-01-04 08:30:00,2149,14.9,NAN,NAN,NAN,
2020-01-04 09:00:00,2150,14.3,NAN,NAN,NAN,
2020-01-04 09:30:00,2151,14.4,NAN,NAN,NAN,
2020-01-04 10:00:00,2152,15,NAN,NAN,NAN,
2020-01-04 10:30:00,2153,15.8,NAN,NAN,NAN,
2020-01-04 11:00:00,2154,15.9,NAN,NAN,NAN,
2020-01-04 11:30:00,2155,16.4,NAN,NAN,NAN,
2020-01-04 12:00:00,2156,16.4,NAN,NAN,NAN,
2020-01-04 12:30:00,2157,16.4,NAN,NAN,NAN,
2020-01-04 13:00:00,2158,16.6,NAN,NAN,NAN,
2020-01-04 13:30:00,2159,16.2,NAN,NAN,NAN,
2020-01-04 14:00:00,2160,16.6,NAN,NAN,NAN,
2020-01-04 14:30:00,2161,16.6,NAN,NAN,NAN,
2020-01-04 15:00:00,2162,16.8,NAN,NAN,NAN,
2020-01-04 15:30:00,2163,16.8,NAN,NAN,NAN,
2020-01-04 16:00:00,2164,17,NAN,NAN,NAN,
2020-01-04 16:30:00,2165,16.5,NAN,NAN,NAN,
2020-01-04 17:00:00,2166,16.5,NAN,NAN,NAN,
2020-01-04 17:30:00,2167,16.6,NAN,NAN,NAN,
2020-01-04 18:00:00,2168,16.1,NAN,NAN,NAN,
2020-01-04 18:30:00,2169,16.2,NAN,NAN,NAN,
2020-01-04 19:00:00,2170,16.3,NAN,NAN,NAN,
2020-01-04 19:30:00,2171,16.4,NAN,NAN,NAN,
2020-01-04 20:00:00,2172,15.8,NAN,NAN,NAN,
2020-01-04 20:30:00,2173,15.6,NAN,NAN,NAN,
2020-01-04 21:00:00,2174,15.4,NAN,NAN,NAN,
2020-01-04 21:30:00,2175,15.5,NAN,NAN,NAN,
2020-01-04 22:00:00,2176,14.8,NAN,NAN,NAN,
2020-01-04 22:30:00,2177,14.4,NAN,NAN,NAN,
2020-01-04 23:00:00,2178,14.8,NAN,NAN,NAN,
2020-01-04 23:30:00,2179,14.3,NAN,NAN,NAN,
2020-01-05 00:00:00,2180,14.1,NAN,NAN,NAN,
2020-01-05 00:30:00,2181,14.1,NAN,NAN,NAN,
2020-01-05 01:00:00,2182,13.5,NAN,NAN,NAN,
2020-01-05 01:30:00,2183,13.8,NAN,NAN,NAN,
2020-01-05 02:00:00,2184,13.3,NAN,NAN,NAN,
2020-01-05 02:30:00,2185,13.1,NAN,NAN,NAN,
2020-01-05 03:00:00,2186,13.7,NAN,NAN,NAN,
2020-01-05 03:30:00,2187,14.3,NAN,NAN,NAN,
2020-01-05 04:00:00,2188,14,NAN,NAN,NAN,
2020-01-05 04:30:00,2189,13.5,NAN,NAN,NAN,
2020-01-05 05:00:00,2190,13.9,NAN,NAN,NAN,
2020-01-05 05:30:00,2191,15,NAN,NAN,NAN,
2020-01-05 06:00:00,2192,14.8,NAN,NAN,NAN,
2020-01-05 06:30:00,2193,15.1,NAN,NAN,NAN,
2020-01-05 07:00:00,2194,15.2,NAN,NAN,NAN,
2020-01-05 07:30:00,2195,15.4,NAN,NAN,NAN,
2020-01-05 08:00:00,2196,15.7,NAN,NAN,NAN,
2020-01-05 08:30:00,2197,15.9,NAN,NAN,NAN,
2020-01-05 09:00:00,2198,16.4,NAN,NAN,NAN,
2020-01-05 09:30:00,2199,15.7,NAN,NAN,NAN,
2020-01-05 10:00:00,2200,15.6,NAN,NAN,NAN,
2020-01-05 10:30:00,2201,12.9,NAN,NAN,NAN,
2020-01-05 11:00:00,2202,10.2,NAN,NAN,NAN,
2020-01-05 11:30:00,2203,10.5,NAN,NAN,NAN,
2020-01-05 12:00:00,2204,9.9,NAN,NAN,NAN,
2020-01-05 12:30:00,2205,11.6,NAN,NAN,NAN,
2020-01-05 13:00:00,2206,9.9,NAN,NAN,NAN,
2020-01-05 13:30:00,2207,8.6,NAN,NAN,NAN,
2020-01-05 14:00:00,2208,8.2,NAN,NAN,NAN,
2020-01-05 14:30:00,2209,7.6,NAN,NAN,NAN,
2020-01-05 15:00:00,2210,7.4,NAN,NAN,NAN,
2020-01-05 15:30:00,2211,7.9,NAN,NAN,NAN,
2020-01-05 16:00:00,2212,8.3,NAN,NAN,NAN,
2020-01-05 16:30:00,2213,10.5,NAN,NAN,NAN,
2020-01-05 17:00:00,2214,12.3,NAN,NAN,NAN,
2020-01-05 17:30:00,2215,11.9,NAN,NAN,NAN,
2020-01-05 18:00:00,2216,9.9,NAN,NAN,NAN,
2020-01-05 18:30:00,2217,10.9,NAN,NAN,NAN,
2020-01-05 19:00:00,2218,12.3,NAN,NAN,NAN,
2020-01-05 19:30:00,2219,12.6,NAN,NAN,NAN,
2020-01-05 20:00:00,2220,12.5,NAN,NAN,NAN,
2020-01-05 20:30:00,2221,12.6,NAN,NAN,NAN,
2020-01-05 21:00:00,2222,12.3,NAN,NAN,NAN,
2020-01-05 21:30:00,2223,11.9,NAN,NAN,NAN,
2020-01-05 22:00:00,2224,11.8,NAN,NAN,NAN,
2020-01-05 22:30:00,2225,11.3,NAN,NAN,NAN,
2020-01-05 23:00:00,2226,11.3,NAN,NAN,NAN,
2020-01-05 23:30:00,2227,11.1,NAN,NAN,NAN,
2020-01-06 00:00:00,2228,10.8,NAN,NAN,NAN,
2020-01-06 00:30:00,2229,11.1,NAN,NAN,NAN,
2020-01-06 01:00:00,2230,11.2,NAN,NAN,NAN,
2020-01-06 01:30:00,2231,10.7,NAN,NAN,NAN,
2020-01-06 02:00:00,2232,11,NAN,NAN,NAN,
2020-01-06 02:30:00,2233,10.8,NAN,NAN,NAN,
2020-01-06 03:00:00,2234,11.2,NAN,NAN,NAN,
2020-01-06 03:30:00,2235,11.3,NAN,NAN,NAN,
2020-01-06 04:00:00,2236,11.4,NAN,NAN,NAN,
2020-01-06 04:30:00,2237,11.3,NAN,NAN,NAN,
2020-01-06 05:00:00,2238,11.2,NAN,NAN,NAN,
2020-01-06 05:30:00,2239,10.9,NAN,NAN,NAN,
2020-01-06 06:00:00,2240,10.6,NAN,NAN,NAN,
2020-01-06 06:30:00,2241,10.4,NAN,NAN,NAN,
2020-01-06 07:00:00,2242,10.2,NAN,NAN,NAN,
2020-01-06 07:30:00,2243,9.9,NAN,NAN,NAN,
2020-01-06 08:00:00,2244,9.5,NAN,NAN,NAN,
2020-01-06 08:30:00,2245,9.4,NAN,NAN,NAN,
