"TOA5","S6_Weir","CR1000X","4737","CR1000X.Std.03.02","CPU:2019.08_S6Weir.CR1x","42030","S6ShelterT"
TIMESTAMP,RECORD,Batt_Volt,GageHouseT,WeirCoverT
TS,RN,V DC,Deg C,Deg C
,,Smp,Smp,Smp
2021-05-06 12:30:00,0,12.77,15.7,15.7
2021-05-06 13:00:00,1,12.71,13.8,13.8
2021-05-06 13:30:00,2,12.75,12.9,12.9
2021-05-06 14:00:00,3,12.77,13.9,13.9
2021-05-06 14:30:00,4,12.74,12.8,12.8
2021-05-06 15:00:00,5,12.72,12.3,12.3
2021-05-06 15:30:00,6,12.7,11.5,11.5
2021-05-06 16:00:00,7,12.74,11.7,11.7
2021-05-06 16:30:00,8,12.69,10.5,10.5
2021-05-06 17:00:00,9,12.68,9.3,9.3
2021-05-06 17:30:00,10,12.65,8.5,8.5
2021-05-06 18:00:00,11,12.63,8.5,8.5
2021-05-06 18:30:00,12,12.61,8.2,8.2
2021-05-06 19:00:00,13,12.6,7.7,7.7
2021-05-06 19:30:00,14,12.58,7,7
2021-05-06 20:00:00,15,12.57,6.5,6.5
2021-05-06 20:30:00,16,12.57,6.2,6.2
2021-05-06 21:00:00,17,12.56,5.6,5.6
2021-05-06 21:30:00,18,12.55,5.1,5.1
2021-05-06 22:00:00,19,12.55,4.5,4.5
2021-05-06 22:30:00,20,12.54,3.7,3.7
2021-05-06 23:00:00,21,12.53,2.7,2.7
2021-05-06 23:30:00,22,12.53,2,2
2021-05-07 00:00:00,23,12.52,1.6,1.6
2021-05-07 00:30:00,24,12.52,1.5,1.5
2021-05-07 01:00:00,25,12.51,1,1
2021-05-07 01:30:00,26,12.51,0.9,0.9
2021-05-07 02:00:00,27,12.5,1.5,1.5
2021-05-07 02:30:00,28,12.5,1.9,1.9
2021-05-07 03:00:00,29,12.5,1.6,1.6
2021-05-07 03:30:00,30,12.49,1.1,1.1
2021-05-07 04:00:00,31,12.49,0.7,0.7
2021-05-07 04:30:00,32,12.48,0.4,0.4
2021-05-07 05:00:00,33,12.48,0.1,0.1
2021-05-07 05:30:00,34,12.48,0,0
2021-05-07 06:00:00,35,12.48,0.1,0.1
2021-05-07 06:30:00,36,12.48,0.7,0.7
2021-05-07 07:00:00,37,12.49,1.6,1.6
2021-05-07 07:30:00,38,12.5,2.5,2.5
2021-05-07 08:00:00,39,12.5,3.2,3.2
2021-05-07 08:30:00,40,12.57,4.3,4.3
2021-05-07 09:00:00,41,12.58,5.1,5.1
2021-05-07 09:30:00,42,12.62,5.6,5.6
2021-05-07 10:00:00,43,12.9,7.5,7.5
2021-05-07 10:30:00,44,13.04,8.9,8.9
2021-05-07 11:00:00,45,12.86,8.1,8.1
2021-05-07 11:30:00,46,13.01,10.6,10.6
2021-05-07 12:00:00,47,14.04,9.7,9.7
2021-05-07 12:30:00,48,13.64,12.2,12.2
2021-05-07 13:00:00,49,12.84,13.2,13.2
2021-05-07 13:30:00,50,13.07,14.3,14.3
2021-05-07 14:00:00,51,13.18,13.7,13.7
2021-05-07 14:30:00,52,13.1,14.1,14.1
2021-05-07 15:00:00,53,12.92,15.3,15.3
2021-05-07 15:30:00,54,13.04,14,14
2021-05-07 16:00:00,55,13.06,15.8,15.8
2021-05-07 16:30:00,56,12.84,12.9,12.9
2021-05-07 17:00:00,57,12.8,11.4,11.4
2021-05-07 17:30:00,58,12.77,11.4,11.4
2021-05-07 18:00:00,59,12.76,11.1,11.1
2021-05-07 18:30:00,60,12.74,10.5,10.5
2021-05-07 19:00:00,61,12.72,9.6,9.6
2021-05-07 19:30:00,62,12.71,8.4,8.4
