"TOA5","BLF_EC","CR5000","1982","CR5000.Std.07","CPU:BOG_LAKE_EC.20210218.CR5","8908","flux"
"TIMESTAMP","RECORD","Fc_wpl","LE_wpl","Hs","Hc","tau","u_star","cov_Uz_Uz","cov_Uz_Ux","cov_Uz_Uy","cov_Uz_co2","cov_Uz_h2o","cov_Uz_Ts","cov_Ux_Ux","cov_Ux_Uy","cov_Ux_co2","cov_Ux_h2o","cov_Ux_Ts","cov_Uy_Uy","cov_Uy_co2","cov_Uy_h2o","cov_Uy_Ts","cov_co2_co2","cov_h2o_h2o","cov_Ts_Ts","Uz_Avg","Ux_Avg","Uy_Avg","co2_mean","h2o_Avg","Ts_mean","rho_a_mean","press_mean","panel_temp_Avg","wnd_dir_compass","wnd_dir_csat3","wnd_spd","rslt_wnd_spd","batt_volt_Avg","std_wnd_dir","n_Tot","csat_warnings","irga_warnings","del_T_f_Tot","sig_lck_f_Tot","amp_h_f_Tot","amp_l_f_Tot","chopper_f_Tot","detector_f_Tot","pll_f_Tot","sync_f_Tot","agc_Avg","Fc_irga","LE_irga","co2_wpl_LE","co2_wpl_H","h2o_wpl_LE","h2o_wpl_H","h2o_hmp_mean","t_hmp_mean","SWUpper_Avg","SWLower_Avg","LWUpper_Avg","LWLower_Avg","LWUpperCo_Avg","LWLowerCo_Avg","RsNet_Avg","RlNet_Avg","Rn_Avg","CNR4TC_Avg","Albedo_Avg","hfp01sc_1_Avg","hfp01sc_2_Avg","hfp01sc_3_Avg","hfp01sc_4_Avg","del_Tsoil(1)","del_Tsoil(2)","soil_water_T_Avg(1)","soil_water_T_Avg(2)","Tsoil_avg(1)","Tsoil_avg(2)","shf_cal(1)","shf_cal(2)","shf_cal(3)","shf_cal(4)","cs616_Avg(1)","cs616_Avg(2)","ch4_um_mol_Avg","press_7700_Avg","rssi_Avg"
"TS","RN","mg/(m^2 s)","W/m^2","W/m^2","W/m^2","kg/(m s^2)","m/s","(m/s)^2","(m/s)^2","(m/s)^2","mg/(m^2 s)","g/(m^2 s)","m C/s","(m/s)^2","(m/s)^2","mg/(m^2 s)","g/(m^2 s)","m C/s","(m/s)^2","mg/(m^2 s)","g/(m^2 s)","m C/s","(mg/m^3)^2","(g/m^3)^2","C^2","m/s","m/s","m/s","mg/m^3","g/m^3","C","kg/m^3","kPa","C","degrees","degrees","m/s","m/s","V","degrees","samples","samples","samples","samples","samples","samples","samples","samples","samples","samples","samples","unitless","mg/(m^2 s)","W/m^2","mg/(m^2 s)","mg/(m^2 s)","W/m^2","W/m^2","g/m^3","C","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","Deg C","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","C","C","frac_v_wtr","frac_v_wtr","C","C","W/(m^2 mV)","W/(m^2 mV)","W/(m^2 mV)","W/(m^2 mV)","uSeconds","uSeconds","umol/mol","kPa",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Avg","Avg","Avg","Smp","Avg","Smp","Smp","Smp","Avg","Smp","Smp","Smp","Smp","Avg","Smp","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Avg","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Smp","Smp","Avg","Avg","Smp","Smp","Smp","Smp","Smp","Smp","Avg","Avg","Avg","Avg","Avg"
"2022-07-14 12:00:00",5867,-0.3664699,190.258,68.58591,56.66392,0.06071414,0.2307806,0.1661122,0.04262019,-0.03193921,-0.5457104,0.07479671,0.0598853,0.5959395,-0.1158934,-0.138558,0.02115804,0.01257955,1.080598,0.6128991,-0.08336188,-0.03812626,23.4704,0.4742745,0.1531152,-0.05449704,-0.04135777,0.7314171,647.6185,11.13747,22.94377,1.139964,96.96175,28.62864,226.7637,93.23632,1.292294,0.7325854,11.04786,53.30714,16856,0,0,0,0,0,0,0,0,0,0,94,-0.5457104,182.504,0.06907593,0.1101646,2.646085,5.107956,10.16732,21.91712,534,73.01,-78,-2.928,7999,7999,461,-75.07,386,761.8,0.137,5.801706,6.401191,4.818154,3.486168,-0.0209446,0.03119469,1.051387,0.9825402,17.60638,18.08052,22.34266,19.7539,21.82175,20.1196,42.81404,42.04116,"NAN","NAN","NAN"
"2022-07-14 12:30:00",5868,-0.3568419,152.2649,56.668,47.10367,0.02538034,0.1491713,0.1493908,0.0183771,-0.01254741,-0.5025837,0.05965434,0.04945245,0.4634658,-0.1624246,0.2645806,-0.03917708,-0.01569178,0.9369041,0.2402687,0.01050781,-0.0168914,19.59504,0.2599147,0.1543864,-0.04478289,-0.01780804,0.5822284,643.0378,11.74958,22.8503,1.140582,96.95576,27.91881,228.2481,91.75189,1.104688,0.5825006,11.06794,55.69016,18000,0,0,0,0,0,0,0,0,0,0,94,-0.5025837,145.5566,0.05470107,0.09104075,2.234423,4.473923,10.76505,21.64594,479.2,65.98,-73.06,-1.782,7999,7999,413.2,-71.28,341.9,762.1,0.138,5.668597,6.270355,4.547451,3.35981,-0.0131073,-0.004047394,1.05194,0.9827327,17.59327,18.07648,22.34266,19.7539,21.82175,20.1196,42.81355,42.04152,2.002241,96.06086,77.76799
"2022-07-14 13:00:00",5869,-0.4858175,324.1027,141.6552,121.1713,0.08406477,0.272058,0.219153,0.04564263,-0.05826705,-0.8347207,0.1262352,0.1241418,0.8749826,0.0529658,-0.1737609,0.03395502,-0.01723559,1.462636,1.590308,-0.1986108,-0.218099,34.62076,0.8612658,0.5786395,-0.01557543,-0.07349005,1.396092,640.0854,11.82005,23.99292,1.135772,96.96067,28.31708,226.9868,93.01325,1.816747,1.398025,11.05821,38.88665,18000,0,0,0,0,0,0,0,0,0,0,94,-0.8347207,308.0138,0.1157254,0.2331778,4.794707,11.29414,10.8688,22.88592,847,113,-84.9,0.2,7999,7999,734.2,-85.1,649.1,761.3,0.133,5.576186,6.156226,4.311223,3.307405,-0.03257561,-0.0356369,1.053346,0.9841995,17.5607,18.04084,22.34266,19.7539,21.82175,20.1196,42.81281,42.04202,1.848833,96.06553,78.97346
"2022-07-14 13:30:00",5870,-0.3517923,324.1889,153.1432,132.5708,0.05337659,0.2169163,0.2742495,0.03092511,-0.03546255,-0.7241402,0.1264078,0.1343717,1.010355,0.2579965,-0.2259781,0.08633287,0.06147989,1.571358,1.666417,-0.1778496,-0.2311446,22.16515,0.5600098,0.5039494,-0.05155146,-0.2350279,1.486659,642.8162,11.09212,24.37637,1.1344,96.92249,29.67126,221.0164,98.98361,1.916868,1.505122,11.06252,37.54082,18000,0,0,0,0,0,0,0,0,0,0,94,-0.7241402,308.435,0.1164375,0.2559103,4.451628,11.30221,10.07217,23.25148,915,123.1,-86,-0.001,7999,7999,791.8,-86,705.8,761.7,0.134,5.513852,6.053463,4.099022,3.318445,-0.004465103,0.05941391,1.053463,0.9817573,17.55623,18.10025,22.34266,19.7539,21.82175,20.1196,42.81154,42.04155,1.846646,96.02768,78.97646
"2022-07-14 14:00:00",5871,-0.2789268,265.9632,118.0845,101.26,0.06670509,0.2427209,0.1874288,0.05802657,-0.01018394,-0.5690171,0.1036827,0.1038066,0.6536571,-0.001270447,-0.1155378,0.0489859,0.06806755,1.468337,0.3057215,-0.02586224,-0.03414585,17.75921,0.4828465,0.3930925,-0.04259799,-0.1566107,1.493654,639.9378,11.56232,24.71661,1.132256,96.92027,30.74226,224.0144,95.98562,1.847291,1.501842,11.06529,35.02749,18000,0,0,0,0,0,0,0,0,0,0,93.99828,-0.5690171,252.9857,0.09529993,0.1947903,3.835411,9.142008,10.55522,23.72614,757.3,102.4,-90.8,-1.265,7999,7999,654.9,-89.5,565.3,760.6,0.135,5.483008,5.958941,3.916914,3.395443,-0.01275635,-0.01574898,1.053951,0.9823946,17.54347,18.08451,22.34266,19.7539,21.82175,20.1196,42.81029,42.04155,1.849405,96.02619,78.69129
"2022-07-14 14:30:00",5872,-0.2393449,197.7455,90.28689,77.74984,0.04911088,0.2083358,0.2013809,0.0389072,-0.01923855,-0.4584325,0.07686075,0.07942396,0.633558,-0.001580627,-0.05846029,0.03051746,0.03430146,1.455942,1.650724,-0.1723804,-0.2143151,17.54118,0.3721423,0.3039932,-0.08079166,-0.1414215,1.216355,635.8657,11.97537,24.76606,1.131487,96.86121,30.92417,223.3682,96.63181,1.594608,1.224549,11.0664,39.02056,18000,0,0,0,0,0,0,0,0,0,0,94,-0.4584325,187.5402,0.07026929,0.1488183,2.950091,7.255234,10.94071,23.6841,724.6,101.9,-87.7,-0.235,7999,7999,622.6,-87.4,535.2,761,0.14,5.483534,5.877691,3.763287,3.536609,-0.001211166,0.01171112,1.053887,0.9818518,17.54226,18.09622,22.34266,19.7539,21.82175,20.1196,42.80849,42.04047,1.84581,95.96693,78.95672
"2022-07-14 15:00:00",5873,-0.1809179,200.5577,89.29211,76.56328,0.03262083,0.1699284,0.1784515,0.0284791,-0.004769098,-0.3979107,0.07778008,0.07867315,0.621465,-0.134218,0.7298658,-0.05545979,-0.03851689,1.889213,0.8073181,-0.1014216,-0.1177324,21.87444,0.3687091,0.2844447,-0.03178329,0.00682182,0.7071926,632.8378,12.614,25.12419,1.1297,96.84172,31.24179,230.5527,89.44731,1.469064,0.7072255,11.05707,58.33057,18000,0,0,0,0,0,0,0,0,0,0,94,-0.3979107,189.7834,0.07092488,0.146068,3.167181,7.607148,11.58182,23.98872,680.7,96,-85.7,-1.784,7999,7999,584.7,-83.9,500.8,758.9,0.14,5.516358,5.813382,3.650237,3.735862,-0.01433372,-0.0747242,1.054415,0.9848491,17.52793,18.02149,22.34266,19.7539,21.82175,20.1196,42.80678,42.03983,1.844974,95.94713,79.06374
"2022-07-14 15:30:00",5874,-0.3826902,238.274,94.98827,79.90679,0.03525451,0.1767752,0.1193828,-0.01492383,-0.02745559,-0.6190479,0.092692,0.08380591,0.4366292,0.0114403,0.3336044,-0.0338004,-0.02822744,0.770215,0.07568622,-0.001789796,0.006004158,20.22266,0.4418875,0.3084896,-0.03951261,0.008460084,0.1752645,630.6547,12.90774,25.43324,1.128163,96.8408,31.693,232.7635,87.23645,0.9511659,0.1754686,11.06569,73.1481,18000,0,0,0,0,0,0,0,0,0,0,94,-0.6190479,226.1685,0.08436374,0.1519939,3.853183,8.252324,11.80499,24.35239,537.3,76.74,-86.7,-4.924,7999,7999,460.6,-81.8,378.8,758.7,0.142,5.577712,5.763672,3.580273,3.989738,0.000421524,-0.01922607,1.054285,0.985604,17.52835,18.00227,22.34266,19.7539,21.82175,20.1196,42.80507,42.03944,1.8511,95.94697,79.02786
