"TOA5","NADP_aspen_temp","CR1000X","4725","CR1000X.Std.03.02","CPU:NADP_Aspen_temp.CR1X","46326","AspenSoilTemp"
"TIMESTAMP","RECORD","Batt_volt_Min","SoilT_5","SoilT_10","SoilT_20","SoilT_30","SoilT_40","SoilT_50","SoilT_100","SoilT_200"
"TS","RN","V DC","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2020-02-19 16:00:00",0,12.88,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2020-02-21 12:30:00",1,13.02,-2.044,1.193,0.622,-0.205,2.363,2.523,3.586,4.617
"2020-02-21 13:00:00",2,15.11,0.855,1.04,1.423,1.735,2.123,2.155,2.682,2.961
"2020-02-21 13:30:00",3,15.14,9.23,0.803,1.26,1.485,1.751,2.041,2.528,3.124
"2020-02-21 14:00:00",4,15.17,0.555,0.805,1.201,1.401,1.816,2.015,2.459,2.074
"2020-02-21 14:30:00",5,15.18,0.392,-1.167,0.972,1.35,1.795,1.98,2.852,3.852
"2020-02-21 15:00:00",6,15.19,5.657,0.781,1.188,1.371,1.777,1.978,2.456,2.554
"2020-02-21 15:30:00",7,15.21,0.409,-2.104,0.862,1.297,1.798,1.807,2.888,3.872
"2020-02-21 16:00:00",0,15.27,0.507,0.779,1.14,1.364,1.807,1.965,2.471,3.866
"2020-02-21 16:30:00",1,15.22,0.268,7.476,7.788,3.143,1.839,-0.159,3.633,5.06
"2020-02-21 17:00:00",2,15.23,1.03,0.855,1.269,1.438,1.861,1.964,2.594,3.676
"2020-02-21 17:30:00",3,15.23,-0.215,1.983,168,4.865,4.373,5.227,3.688,8.46
"2020-02-21 18:00:00",4,15.23,1.297,2.459,160.4,5.175,5.737,2.727,4.61,8.19
"2020-02-21 18:30:00",5,15.23,0.733,0.843,1.072,1.536,2.106,2.265,3.166,4.194
"2020-02-21 19:00:00",6,15.22,0.832,1.036,1.425,1.691,2.169,2.287,2.969,4.188
"2020-02-21 19:30:00",7,15.22,0.908,1.094,1.459,1.7,2.211,2.277,2.831,4.204
