"TOA5","S2_bogwell","CR1000","34019","CR1000.Std.19","CPU:2020.10.07_S2BogWell.cr1","45040","S2BWMet"
"TIMESTAMP","RECORD","AirT","AirTBW","RH","RHBW","PAR_Den","BP","BPnorm","Batt_volt"
"TS","RN","Deg C","Deg C","%","%","µmol/s/m²","kPa","kPa","V DC"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2020-10-07 10:30:00",0,11.4,11.96,68.2,72.83,142.5204,96.3,101.3,12.7
"2020-10-07 11:00:00",1,11.9,12.76,65.1,68.92,145.4184,96.3,101.2,12.81
"2020-10-07 11:30:00",2,13.2,13.71,61.4,65.16,186.1292,96.3,101.3,12.98
"2020-10-07 12:00:00",3,13.5,14.07,59,63.17,295.3903,96.2,101.2,12.9
"2020-10-07 12:30:00",4,14.5,15.02,53.7,57.76,126.1094,96.2,101.2,12.91
"2020-10-07 13:00:00",5,13.9,14.31,52.2,55.84,797.3094,96.2,101.2,13.37
"2020-10-07 13:30:00",6,15.7,16.37,45.2,48.79,150.2888,96.2,101.2,12.85
"2020-10-07 14:00:00",7,14.7,15.43,47.4,50.31,181.1747,96.2,101.2,12.91
"2020-10-07 14:30:00",8,15.3,15.75,44.2,46.33,182.6082,96.2,101.2,12.9
"2020-10-07 15:00:00",9,15,16.12,42.3,46.57,570.4677,96.2,101.2,13.03
"2020-10-07 15:30:00",10,14.4,14.85,46.8,47.81,68.02819,96.3,101.2,12.83
"2020-10-07 16:00:00",11,14.7,15.16,44.2,48.26,91.53488,96.3,101.3,12.84
"2020-10-07 16:30:00",12,13.7,14.05,50.4,50.71,49.3071,96.4,101.3,12.77
"2020-10-07 17:00:00",13,12.9,13.14,47.7,51.72,27.75252,96.4,101.4,12.73
"2020-10-07 17:30:00",14,11.9,12.22,54.3,61.18,7.881473,96.4,101.4,12.7
"2020-10-07 18:00:00",15,10.8,10.92,62.5,67.06,0.471652,96.5,101.5,12.68
"2020-10-07 18:30:00",16,9.4,9.15,66.8,70.93,0.2695373,96.5,101.5,12.67
"2020-10-07 19:00:00",17,8.5,8.54,72.9,78.59,0.2695889,96.5,101.5,12.65
"2020-10-07 19:30:00",18,8.1,8.11,73.8,78.99,0.2696164,96.6,101.6,12.64
"2020-10-07 20:00:00",19,7.3,7.197,76,81.9,0.2696357,96.6,101.6,12.63
"2020-10-07 20:30:00",20,6.6,6.41,79.7,85.4,0.2696457,96.6,101.6,12.62
"2020-10-07 21:00:00",21,6,5.754,81,88.9,0.2696675,96.7,101.6,12.62
"2020-10-07 21:30:00",22,5.6,5.714,82.9,89.5,0.2022886,96.7,101.7,12.61
"2020-10-07 22:00:00",23,5.4,5.724,83,88.5,0.2697258,96.7,101.7,12.6
"2020-10-07 22:30:00",24,5.2,5.481,83.1,88.5,0.2697302,96.7,101.7,12.59
"2020-10-07 23:00:00",25,4.8,4.895,83.3,90,0.2697253,96.8,101.8,12.58
"2020-10-07 23:30:00",26,4.3,4.33,84.4,92.1,0.2697321,96.8,101.8,12.58
"2020-10-08 00:00:00",27,3.8,3.663,85,94.9,0.2697341,96.8,101.8,12.57
"2020-10-08 00:30:00",28,3.3,3.067,85.8,95.6,0.3372084,96.8,101.8,12.56
"2020-10-08 01:00:00",29,2.7,2.612,88,95.9,0.3372289,96.9,101.9,12.55
"2020-10-08 01:30:00",30,2.3,2.329,90,97.3,0.2023482,96.9,101.9,12.55
"2020-10-08 02:00:00",31,1.9,1.753,91.1,99.1,0.2698056,96.9,101.9,12.54
