"TOA5","S2_bogwell","CR1000","34019","CR1000.Std.19","CPU:2020.10.07_S2BogWell.cr1","45040","S2SoilTemp"
"TIMESTAMP","RECORD","SoilT_5","SoilT_10","SoilT_20","SoilT_30","SoilT_40","SoilT_50","SoilT_100","SoilT_200"
"TS","RN","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2020-10-07 10:30:00",0,9.45,9.78,10.16,9.45,9.93,10.25,9.95,7.6
"2020-10-07 11:00:00",1,9.51,9.79,10.16,9.49,9.93,10.25,9.95,7.6
"2020-10-07 11:30:00",2,9.69,9.78,10.15,9.61,9.93,10.25,9.95,7.6
"2020-10-07 12:00:00",3,9.83,9.78,10.15,9.73,9.94,10.24,9.95,7.6
"2020-10-07 12:30:00",4,9.91,9.78,10.14,9.81,9.94,10.25,9.95,7.6
"2020-10-07 13:00:00",5,9.9,9.77,10.14,9.83,9.93,10.24,9.94,7.6
"2020-10-07 13:30:00",6,10.21,9.78,10.15,10,9.94,10.24,9.94,7.6
"2020-10-07 14:00:00",7,10.08,9.77,10.14,9.98,9.92,10.23,9.93,7.6
"2020-10-07 14:30:00",8,10.13,9.77,10.13,10.03,9.92,10.22,9.94,7.6
"2020-10-07 15:00:00",9,10.15,9.77,10.13,10.07,9.93,10.23,9.94,7.6
"2020-10-07 15:30:00",10,10.18,9.77,10.13,10.12,9.93,10.23,9.93,7.6
"2020-10-07 16:00:00",11,10.14,9.77,10.14,10.09,9.93,10.23,9.93,7.6
"2020-10-07 16:30:00",12,10.13,9.78,10.13,10.1,9.93,10.22,9.94,7.6
"2020-10-07 17:00:00",13,10.1,9.78,10.14,10.09,9.92,10.23,9.94,7.6
"2020-10-07 17:30:00",14,10.06,9.78,10.14,10.05,9.92,10.23,9.92,7.6
"2020-10-07 18:00:00",15,10,9.79,10.14,10.01,9.93,10.22,9.93,7.6
"2020-10-07 18:30:00",16,9.93,9.78,10.13,9.95,9.92,10.21,9.93,7.6
"2020-10-07 19:00:00",17,9.87,9.79,10.12,9.89,9.92,10.21,9.93,7.6
"2020-10-07 19:30:00",18,9.81,9.8,10.13,9.85,9.92,10.22,9.92,7.6
"2020-10-07 20:00:00",19,9.75,9.8,10.13,9.8,9.93,10.22,9.93,7.6
"2020-10-07 20:30:00",20,9.69,9.79,10.13,9.75,9.93,10.22,9.93,7.6
"2020-10-07 21:00:00",21,9.63,9.79,10.12,9.68,9.91,10.21,9.91,7.6
"2020-10-07 21:30:00",22,9.57,9.8,10.12,9.64,9.92,10.22,9.92,7.6
"2020-10-07 22:00:00",23,9.52,9.8,10.13,9.58,9.92,10.21,9.92,7.6
"2020-10-07 22:30:00",24,9.46,9.81,10.13,9.54,9.92,10.2,9.92,7.6
"2020-10-07 23:00:00",25,9.41,9.8,10.11,9.48,9.92,10.2,9.92,7.6
"2020-10-07 23:30:00",26,9.35,9.81,10.1,9.41,9.92,10.2,9.92,7.6
"2020-10-08 00:00:00",27,9.28,9.81,10.11,9.36,9.92,10.2,9.92,7.6
"2020-10-08 00:30:00",28,9.21,9.81,10.11,9.28,9.92,10.2,9.91,7.6
"2020-10-08 01:00:00",29,9.15,9.82,10.12,9.23,9.93,10.2,9.92,7.6
"2020-10-08 01:30:00",30,9.09,9.83,10.12,9.16,9.93,10.21,9.92,7.6
"2020-10-08 02:00:00",31,9.02,9.82,10.11,9.1,9.93,10.2,9.92,7.6
"2020-10-08 02:30:00",32,8.95,9.8,10.11,9.02,9.93,10.19,9.92,7.6
"2020-10-08 03:00:00",33,8.89,9.8,10.11,8.97,9.92,10.19,9.92,7.6
"2020-10-08 03:30:00",34,8.82,9.8,10.1,8.89,9.92,10.19,9.91,7.6
"2020-10-08 04:00:00",35,8.75,9.81,10.11,8.83,9.92,10.19,9.91,7.6
"2020-10-08 04:30:00",36,8.69,9.8,10.11,8.77,9.93,10.18,9.91,7.6
"2020-10-08 05:00:00",37,8.62,9.79,10.1,8.71,9.93,10.18,9.9,7.6
"2020-10-08 05:30:00",38,8.58,9.79,10.1,8.65,9.92,10.18,9.9,7.6
"2020-10-08 06:00:00",39,8.53,9.79,10.1,8.6,9.91,10.18,9.9,7.6
"2020-10-08 06:30:00",40,8.48,9.77,10.09,8.55,9.9,10.18,9.9,7.6
"2020-10-08 07:00:00",41,8.43,9.76,10.09,8.51,9.9,10.18,9.9,7.6
"2020-10-08 07:30:00",42,8.39,9.76,10.09,8.46,9.9,10.18,9.9,7.6
"2020-10-08 08:00:00",43,8.38,9.76,10.09,8.44,9.9,10.18,9.9,7.6
"2020-10-08 08:30:00",44,8.39,9.76,10.1,8.44,9.9,10.18,9.9,7.6
"2020-10-08 09:00:00",45,8.49,9.76,10.1,8.52,9.91,10.18,9.92,7.6
"2020-10-08 09:30:00",46,8.57,9.74,10.11,8.59,9.9,10.18,9.91,7.6
"2020-10-08 10:00:00",47,8.69,9.74,10.09,8.67,9.9,10.18,9.9,7.6
"2020-10-08 10:30:00",48,8.77,9.73,10.09,8.75,9.89,10.16,9.91,7.6
"2020-10-08 11:00:00",49,8.83,9.72,10.09,8.78,9.88,10.16,9.9,7.6
"2020-10-08 11:30:00",50,9.02,9.72,10.08,8.92,9.88,10.17,9.9,7.6
"2020-10-08 12:00:00",51,9.28,9.72,10.1,9.08,9.88,10.16,9.91,7.6
"2020-10-08 12:30:00",52,9.32,9.71,10.1,9.16,9.87,10.17,9.9,7.6
"2020-10-08 13:00:00",53,9.37,9.69,10.08,9.2,9.86,10.16,9.9,7.6
"2020-10-08 13:30:00",54,9.58,9.68,10.08,9.34,9.86,10.16,9.9,7.6
"2020-10-08 14:00:00",55,9.49,9.67,10.08,9.34,9.86,10.15,9.89,7.6
"2020-10-08 14:30:00",56,9.51,9.67,10.07,9.37,9.86,10.15,9.89,7.6
"2020-10-08 15:00:00",57,9.55,9.67,10.08,9.42,9.85,10.16,9.89,7.6
"2020-10-08 15:30:00",58,9.6,9.66,10.08,9.49,9.85,10.15,9.89,7.6
"2020-10-08 16:00:00",59,9.6,9.66,10.07,9.5,9.84,10.14,9.89,7.6
"2020-10-08 16:30:00",60,9.58,9.66,10.07,9.5,9.84,10.14,9.89,7.6
"2020-10-08 17:00:00",61,9.56,9.65,10.08,9.49,9.84,10.15,9.89,7.6
"2020-10-08 17:30:00",62,9.53,9.65,10.07,9.47,9.83,10.14,9.89,7.6
"2020-10-08 18:00:00",63,9.48,9.65,10.07,9.45,9.83,10.15,9.88,7.6
"2020-10-08 18:30:00",64,9.43,9.64,10.07,9.4,9.82,10.14,9.88,7.6
"2020-10-08 19:00:00",65,9.38,9.64,10.07,9.36,9.82,10.13,9.88,7.6
"2020-10-08 19:30:00",66,9.34,9.65,10.07,9.33,9.81,10.13,9.89,7.6
"2020-10-08 20:00:00",67,9.3,9.65,10.07,9.3,9.81,10.14,9.89,7.6
"2020-10-08 20:30:00",68,9.27,9.64,10.07,9.27,9.82,10.14,9.89,7.6
"2020-10-08 21:00:00",69,9.25,9.64,10.07,9.25,9.82,10.14,9.89,7.6
"2020-10-08 21:30:00",70,9.28,9.65,10.07,9.27,9.82,10.14,9.89,7.6
"2020-10-08 22:00:00",71,9.3,9.65,10.06,9.29,9.81,10.13,9.89,7.6
"2020-10-08 22:30:00",72,9.33,9.64,10.06,9.32,9.8,10.13,9.88,7.6
"2020-10-08 23:00:00",73,9.33,9.64,10.06,9.32,9.79,10.13,9.88,7.6
"2020-10-08 23:30:00",74,9.33,9.64,10.06,9.32,9.79,10.12,9.88,7.6
"2020-10-09 00:00:00",75,9.33,9.64,10.05,9.32,9.79,10.12,9.88,7.6
"2020-10-09 00:30:00",76,9.33,9.64,10.05,9.32,9.79,10.12,9.87,7.6
"2020-10-09 01:00:00",77,9.32,9.64,10.05,9.31,9.79,10.12,9.87,7.6
"2020-10-09 01:30:00",78,9.33,9.64,10.05,9.33,9.79,10.12,9.88,7.6
"2020-10-09 02:00:00",79,9.33,9.64,10.05,9.32,9.79,10.12,9.87,7.6
"2020-10-09 02:30:00",80,9.32,9.64,10.05,9.31,9.79,10.12,9.87,7.6
"2020-10-09 03:00:00",81,9.3,9.64,10.03,9.29,9.79,10.12,9.87,7.6
"2020-10-09 03:30:00",82,9.28,9.63,10.02,9.28,9.78,10.1,9.87,7.6
"2020-10-09 04:00:00",83,9.28,9.64,10.03,9.28,9.79,10.11,9.87,7.6
"2020-10-09 04:30:00",84,9.27,9.64,10.03,9.27,9.79,10.11,9.87,7.6
"2020-10-09 05:00:00",85,9.25,9.64,10.03,9.25,9.78,10.1,9.87,7.6
"2020-10-09 05:30:00",86,9.23,9.64,10.03,9.23,9.78,10.1,9.87,7.6
"2020-10-09 06:00:00",87,9.2,9.64,10.03,9.21,9.78,10.11,9.87,7.6
"2020-10-09 06:30:00",88,9.17,9.63,10.02,9.17,9.79,10.1,9.87,7.6
"2020-10-09 07:00:00",89,9.15,9.63,10.02,9.16,9.79,10.09,9.86,7.6
"2020-10-09 07:30:00",90,9.14,9.63,10.02,9.15,9.78,10.09,9.86,7.6
"2020-10-09 08:00:00",91,9.2,9.63,10.02,9.17,9.79,10.09,9.86,7.6
"2020-10-09 08:30:00",92,9.25,9.63,10.02,9.23,9.79,10.09,9.87,7.6
"2020-10-09 09:00:00",93,9.3,9.64,10.02,9.27,9.78,10.1,9.87,7.6
"2020-10-09 09:30:00",94,9.43,9.64,10.02,9.37,9.78,10.09,9.87,7.6
"2020-10-09 10:00:00",95,9.58,9.65,10.01,9.5,9.78,10.1,9.88,7.6
"2020-10-09 10:30:00",96,9.67,9.63,10.02,9.59,9.77,10.09,9.86,7.6
"2020-10-09 11:00:00",97,9.73,9.63,10.02,9.65,9.76,10.08,9.85,7.6
"2020-10-09 11:30:00",98,9.93,9.64,10.01,9.8,9.77,10.08,9.86,7.6
"2020-10-09 12:00:00",99,10.16,9.64,10.01,9.96,9.77,10.08,9.86,7.6
"2020-10-09 12:30:00",100,10.24,9.63,10.01,10.07,9.78,10.08,9.86,7.6
"2020-10-09 13:00:00",101,10.3,9.64,10.01,10.15,9.77,10.08,9.86,7.6
"2020-10-09 13:30:00",102,10.62,9.64,10,10.33,9.77,10.08,9.86,7.6
"2020-10-09 14:00:00",103,10.56,9.64,9.99,10.38,9.76,10.07,9.86,7.6
"2020-10-09 14:30:00",104,10.59,9.64,9.99,10.44,9.76,10.06,9.85,7.6
"2020-10-09 15:00:00",105,10.66,9.65,9.99,10.53,9.77,10.07,9.86,7.6
"2020-10-09 15:30:00",106,10.73,9.65,9.99,10.61,9.77,10.06,9.86,7.6
"2020-10-09 16:00:00",107,10.67,9.65,9.98,10.59,9.77,10.05,9.85,7.6
