"TOA5","S2bog","CR1000","34019","CR1000.Std.19","CPU:2020.01.13_S2BogWell.CR1","14464","S2BWMet"
TIMESTAMP,RECORD,AirT,AirTBW,RH,RHBW,PAR_Den,BP,BPnorm,Batt_volt
TS,RN,Deg C,Deg C,%,%,Âµmol/s/mÂ²,kPa,kPa,V DC
,,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp
2020-01-05 13:00:00,4796,-2.7,-2.345,83,90.1,13.69992,95.6,100.5,
2020-01-05 13:30:00,4797,-2.9,-2.528,79,87.3,9.78603,95.6,100.6,
2020-01-05 14:00:00,4798,-3.2,-2.851,75.7,84.6,13.43026,95.7,100.6,
2020-01-05 14:30:00,4799,-3.5,-3.054,75.2,82.4,11.33819,95.7,100.7,
2020-01-05 15:00:00,4800,-3.5,-3.216,74.1,83.7,13.29566,95.8,100.8,
2020-01-05 15:30:00,4801,-3.6,-3.216,70.1,79.32,14.91517,95.8,100.8,
2020-01-05 16:00:00,4802,-3.8,-3.378,69.2,79.26,7.491193,95.9,100.9,
2020-01-05 16:30:00,4803,-3.7,-3.378,72.1,81.2,2.09212,95.9,100.9,
2020-01-05 17:00:00,4804,-4.2,-4.006,74.9,85.2,0.3374717,95.9,100.9,
2020-01-05 17:30:00,4805,-4,-3.662,78.9,87.3,0.2699941,95.9,100.9,
2020-01-05 18:00:00,4806,-4.2,-3.844,74.1,83.1,0.2024937,96,100.9,
2020-01-05 18:30:00,4807,-5.3,-4.98,77.4,86.2,0.2025004,96,101,
2020-01-05 19:00:00,4808,-6.1,-6.146,81.4,89.9,0.2025076,96.1,101,
2020-01-05 19:30:00,4809,-7.1,-7.191,81.1,91.1,0.2025051,96.1,101,
2020-01-05 20:00:00,4810,-8,-7.749,81.2,91.3,0.2025291,96.1,101,
2020-01-05 20:30:00,4811,-8.6,-8.49,84.2,92.9,0.2025599,96.1,101.1,
2020-01-05 21:00:00,4812,-9.3,-9.2,83.2,93.8,0.2025886,96.1,101.1,
2020-01-05 21:30:00,4813,-9.6,-9.38,85.2,93,0.2026116,96.1,101.1,
2020-01-05 22:00:00,4814,-9.7,-9.32,85.9,93.7,0.2701897,96.2,101.1,
2020-01-05 22:30:00,4815,-9.7,-9.36,86.6,94.9,0.2026481,96.2,101.1,
2020-01-05 23:00:00,4816,-10,-9.72,87.9,96.4,0.135102,96.2,101.2,
2020-01-05 23:30:00,4817,-9.9,-9.53,87.6,96,0.2026574,96.2,101.1,
2020-01-06 00:00:00,4818,-9,-8.84,90.4,95.6,0.2026469,96.1,101.1,
2020-01-06 00:30:00,4819,-9,-8.61,88.3,95.7,0.2026511,96.2,101.1,
2020-01-06 01:00:00,4820,-9.2,-8.77,88,95.5,0.2026487,96.1,101.1,
2020-01-06 01:30:00,4821,-9.1,-8.61,90.2,98.1,0.202648,96.1,101.1,
2020-01-06 02:00:00,4822,-8.8,-8.52,88.8,97.1,0.2026499,96.1,101.1,
2020-01-06 02:30:00,4823,-8.9,-8.42,88.9,96.1,0.2026373,96.2,101.1,
